file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M159139211,"File:PORTRET-STUDIE. (Mej. Alida Klein.) van C. E. Moegle , Fotograaf Rotterdam, 1892.jpg","PORTRAIT STUDY. (Miss Alida Klein.) by C. E. Moegle, Photographer Rotterdam, 1892 (1873-1938)","PORTRET-STUDIE. (Mej. Alida Klein.) van C. E. Moegle , Fotograaf Rotterdam, 1892 (1873-1938)",Q25158588,Alida Tartaud-Klein,Dutch actress (1873-1938),Alida Tartaud-Klein,Nederlandse toneelactrice (1873-1938),1892 in Rotterdam; Alida Tartaud-Klein; Lux (Dutch journal); Photographs by Carl Emil Mögle,,
https://commons.wikimedia.org/entity/M149854573,File:1910s Portret van Carel van Basten Batenburg (1860–1922).jpg,"Portrait of Carel van Basten Batenburg, Dutch entrepreneur (1860-1922)","Portret van Carel van Basten Batenburg, Nederlandse ondernemer (1860-1922)",Q126947372,Carel van Basten Batenburg,Dutch entrepreneur (1860-1922),Carel van Basten Batenburg,Nederlandse ondernemer (1860-1922),Carel van Basten Batenburg; History of Tegelen; Klei (tijdschrift); N.V. Tiglia Kleiwarenfabriek; Venlo in the 1910s,Q126947372,Carel van Basten Batenburg
https://commons.wikimedia.org/entity/M150977952,File:1912 Portret van B.M. Blijdenstein (1859-1912).jpg,Portrait of B.M. Bledenstein (1859-1912),Portret van B.M. Blijdenstein (1859-1912),Q121669909,Bernard Marinus Blijdenstein,Dutch civil engineer (1859-1912),Bernard Marinus Blijdenstein,Nederlandse burgerlijk ingenieur (1859-1912),B.M. Blijdenstein; De Ingenieur,Q121669909,Bernard Marinus Blijdenstein
https://commons.wikimedia.org/entity/M151849576,"File:1915 J.S. Meuwsen, de bekende middelstands-voorman.jpg","Portrait of Johannes Sebastianus Meuwsen, hatter (1862-1915)","J.S. Meuwsen, de bekende middelstands-voorman, 1915",Q106689089,Johannes Sebastianus Meuwsen,hatter (1862-1915),Johannes Sebastianus Meuwsen,Nederlands hoeden- en pettenkoopman in Amsterdam (1862-1915),1915 in Bussum; CBG Centrum voor familiegeschiedenis; J.S. Meuwsen; Nederlandse Bond van Verenigingen van de Handeldrijvende en de Industriële Middenstand,,
https://commons.wikimedia.org/entity/M151850503,"File:1915 Panorama, J.S. Meuwsen.jpg","Portrait of Johannes Sebastianus Meuwsen, hatter (1862-1915)","Panorama, J.S. Meuwsen, 1915",Q106689089,Johannes Sebastianus Meuwsen,hatter (1862-1915),Johannes Sebastianus Meuwsen,Nederlands hoeden- en pettenkoopman in Amsterdam (1862-1915),1915 in Bussum; CBG Centrum voor familiegeschiedenis; J.S. Meuwsen; Panorama (Dutch magazine),,
https://commons.wikimedia.org/entity/M149424895,File:1920s Portret van Cor Aafjes (1898-1928).jpg,"Portrait of Cor Aafjes, Dutch camera operator & director (1898-1928)","Portret van Cor Aafjes, Nederlandse cameraman en regisseur (1898-1928)",Q126684808,Cor Aafjes,Dutch camera operator & director (1896-1928),Cor Aafjes,Nederlandse cameraman en regisseur (1896-1928),Cor Aafjes; Filmfabriek Polygoon; Haarlem in the 1920s,Q126684808,Cor Aafjes
https://commons.wikimedia.org/entity/M141588019,"File:1921 H.B.J. van Rijn, burgemeester van Venlo, herdacht tachtigsten geboortedag.jpg","Portrait of Hermanus Bernardus Jacobus van Rijn, Dutch politician (1841-1928)","H.B.J. van Rijn, burgemeester van Venlo, herdacht tachtigsten geboortedag, 21.07.1921",Q1861027,Hermanus Bernardus Jacobus van Rijn,Dutch politician (1841-1928),Hermanus Bernardus Jacobus van Rijn,Nederlands politicus (1841-1928),1921 in Venlo; De Courant; Hermanus Bernardus Jacobus van Rijn; Venlo in the 1920s,,
https://commons.wikimedia.org/entity/M82066483,File:1923 Jos. Schrijnen — MMKB02 000118508 00004 image (cropped).jpg,"Portrait of Joseph Schrijnen, Dutch priest (1869-1938)","Portret van Joseph Schrijnen, Nederlands priester (1869-1938)",Q16070335,Joseph Schrijnen,Dutch priest (1869-1938),Joseph Schrijnen,Nederlands priester (1869-1938),Jos. Schrijnen; Photographs by Toni Arens-Tepe,Q16070335,Joseph Schrijnen
https://commons.wikimedia.org/entity/M82036221,File:1923 Jos. Schrijnen — MMKB02 000118508 00004 image.jpg,"Portrait of Joseph Schrijnen, Dutch priest (1869-1938)","Portret van Joseph Schrijnen, Nederlands priester (1869-1938)",Q16070335,Joseph Schrijnen,Dutch priest (1869-1938),Joseph Schrijnen,Nederlands priester (1869-1938),Jos. Schrijnen; Photographs by Toni Arens-Tepe,,
https://commons.wikimedia.org/entity/M149468957,File:1925 Adriënne Solser en André Boesnach terug uit Afrika.jpg,"Adriënne Solser and André Boesnach return from Africa, 1925 (1873-1943)","Adriënne Solser en André Boesnach terug uit Afrika, 1925 (1873-1943)",Q28064073,Adriënne Solser,"Dutch actress, film director and producer (1873-1943)",Adriënne Solser,Nederlands actrice (1873-1943),Adriënne Solser; André Boesnach; Kunst en amusement,Q126709796,André Boesnach
