file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M151880059,File:1927 Haagsche Courant artikel De Nederlandsche Middenstandsbond bestaat 25 jaar.jpg,,"De Nederlandsche Middenstandsbond bestaat 25 jaar, 1927",,,,,,1927 in The Hague; Ed.G. Schürmann; Haagsche Courant; Koninklijke Nederlandse Middenstandsbond,Q129941140,Ed.G. Schürmann
https://commons.wikimedia.org/entity/M114255805,"File:In het park van het fraaie buiten Marquette te Heemskerk, 1937.jpg",,"In het park van het fraaie buiten Marquette te Heemskerk, 1937",,,,,,1937 in Heemskerk; Events in Heemskerk; Heemskerk in the 1930s; Marquette estate; Provinciale Geldersche en Nijmeegsche Courant,,
https://commons.wikimedia.org/entity/M114237659,"File:Aankondiging Gouden huwelijksfeest te Heemskerk, 1941.jpg",,"Aankondiging Gouden huwelijksfeest te Heemskerk, 1941",,,,,,1941 in Heemskerk; Events in Heemskerk; Heemskerk in the 1940s; Nieuwe Haarlemsche courant,,
https://commons.wikimedia.org/entity/M129000110,"File:Aankondiging radio-uitzending over het afbetaalsysteem, 1928.jpg",,"Aankondiging radio-uitzending over het afbetaalsysteem, 1928",,,,,,Accountants from the Netherlands; Afbetaling; De Courant; De Telegraaf; Radio broadcasting in the Netherlands; Van Overeem (surname),,
https://commons.wikimedia.org/entity/M73090423,"File:Afscheidsverkoop hoedenzaak heer H. A. Keller, 50 jarig jubileum Leidsestraat Am, Bestanddeelnr 906-8091.jpg",,,,,,,,"Hat shops in the Netherlands; Leidsestraat, Amsterdam; Photographs by Wim van Rossem in Amsterdam (1954)",,
https://commons.wikimedia.org/entity/M61569912,"File:Albertan of Brescia(?) and four philosophers - Seneca, Ovid, Avicenna and Sidrach - Die Dietsche Doctrinale, - KB 76 E 5, folium 001r.jpg",,,,,,,,Die Dietsche Doctrinale; O as an initial in illuminated manuscripts,,
https://commons.wikimedia.org/entity/M28830647,File:Album amicorum (I) van Ernst Brinck (8077131267).jpg,,,,,,,,"Album Amicorum; Album amicorum of Ernst Brinck, album 1, years 1602-1649",Q98277231,"Album amicorum of Ernst Brinck, album 1, years 1602-1649"
https://commons.wikimedia.org/entity/M28830649,File:Album amicorum II van Burchard Grossmann (8077131133).jpg,,,,,,,,Album Amicorum; Album amicorum van Burchard Grossmann; Drawings by Rembrandt in the Koninklijke Bibliotheek; Portrait drawings by Rembrandt,,
https://commons.wikimedia.org/entity/M86267256,File:Album amicorum Jacob Heyblocq KB131H26 - p171 - Hendrick ten Oever - Poem with a pasted drawing of probably Hendrick ten Oever himself.jpg,,,,,,,,Album amicorum van Jacobus Heyblocq; Hendrick ten Oever,Q105528475,AAJH-109 Contribution of Hendrick ten Oever
https://commons.wikimedia.org/entity/M28830596,File:Album amicorum Jacob Heyblocq KB131H26 - p249 - Jan de Bray - Drawing - Chess player.jpg,,,,,,,,Album Amicorum; Album amicorum van Jacobus Heyblocq; Drawings by Jan de Bray; Line art in Koninklijke Bibliotheek,Q25395712,AAJH-171 Contribution of Jan de Bray
